sms_id,text,label
10352,"Nah can't help you there, I've never had an iphone",ham
10353,If you're not in my car in an hour and a half I'm going apeshit,ham
10354,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD",ham
10355,Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed,ham
10356,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.,ham
10357,"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer.",ham
10358,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,spam
10359,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL,spam
10360,"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday.",ham
10361,"Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted",ham
10362,Ha ha cool cool chikku chikku:-):-DB-),ham
10363,Oh ok no prob..,ham
10364,Check audrey's status right now,ham
10365,Busy here. Trying to finish for new year. I am looking forward to finally meeting you...,ham
10366,"Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always",ham
10367,Well i know Z will take care of me. So no worries.,ham
10368,"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=",spam
10369,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546,spam
10370,Wat uniform? In where get?,ham
10371,"Cool, text me when you're ready",ham
10372,"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ...",ham
10373,I will spoil you in bed as well :),ham
10374,I'm going for bath will msg you next  &lt;#&gt;  min..,ham
10375,I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay,ham
10376,"Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994",spam
10377,Can you say what happen,ham
10378,You could have seen me..i did't recognise you Face.:),ham
10379,Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going,ham
10380,Keep my payasam there if rinu brings,ham
10381,I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..,ham
10382,"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up.",ham
10383,"Yeah sure, give me a couple minutes to track down my wallet",ham
10384,Hey leave it. not a big deal:-) take care.,ham
10385,Hey i will be late ah... Meet you at 945+,ham
10386,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX",spam
10387,It took Mr owl 3 licks,ham
10388,Customer place i will call you.,ham
10389,Mm that time you dont like fun,ham
10390,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,spam
10391,Yup having my lunch buffet now.. U eat already?,ham
10392,Huh so late... Fr dinner?,ham
10393,Hey so this sat are we going for the intro pilates only? Or the kickboxing too? ,ham
10394,Morning only i can ok.,ham
10395,Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down,ham
10396,Pick you up bout 7.30ish? What time are  and that going?,ham
10397,From here after The performance award is calculated every two month.not for current one month period..,ham
10398,Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.,ham
10399,"You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated.",ham
10400,"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India.",ham
10401,Hmmm...k...but i want to change the field quickly da:-)i wanna get system administrator or network administrator..,ham
10402,"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3x£150pw to e£nd txt stop",spam
10403,Dear how is chechi. Did you talk to her,ham
10404,The hair cream has not been shipped.,ham
10405,None of that's happening til you get here though,ham
10406,"Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour",ham
10407,"Haha get used to driving to usf man, I know a lot of stoners",ham
10408,All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?,ham
10409,Hello! Good week? Fancy a drink or something later?,ham
10410,Headin towards busetop,ham
10411,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,ham
10412,Come by our room at some point so we can iron out the plan for this weekend,ham
10413,Cos i want it to be your thing,ham
10414,"Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah... ",ham
10415,Bring home some Wendy =D,ham
10416,100 dating service cal;l 09064012103 box334sk38ch,spam
10417,Whatsup there. Dont u want to sleep,ham
10418,Alright i have a new goal now,ham
10419,FREE entry into our £250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,spam
10420,"Alright, I'll head out in a few minutes, text me where to meet you",ham
10421,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p,spam
10422,Yes:)from last week itself i'm taking live call.,ham
10423,Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p,spam
10424,Siva is in hostel aha:-.,ham
10425,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only,spam
10426,Send this to ur friends and receive something about ur voice..... How is my speaking expression? 1.childish 2.naughty 3.Sentiment 4.rowdy 5.ful of attitude 6.romantic 7.shy 8.Attractive 9.funny  &lt;#&gt; .irritating  &lt;#&gt; .lovable. reply me..,ham
10427,Ok. She'll be ok. I guess,ham
10428,aathi..where are you dear..,ham
10429,Any pain on urination any thing else?,ham
10430,7 at esplanade.. Do ü mind giving me a lift cos i got no car today..,ham
10431,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,ham
10432,At home watching tv lor.,ham
10433,Does she usually take fifteen fucking minutes to respond to a yes or no question,ham
10434,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX,spam
10435,Booked ticket for pongal?,ham
10436,You available now? I'm like right around hillsborough &amp;  &lt;#&gt; th,ham
10437,The message sent is askin for  &lt;#&gt; dollars. Shoul i pay  &lt;#&gt;  or  &lt;#&gt; ?,ham
10438,"Ask g or iouri, I've told the story like ten times already",ham
10439,How long does applebees fucking take,ham
10440,"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think.",ham
10441,But i have to. I like to have love and arrange.,ham
10442,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.,ham
10443,You were supposed to wake ME up &gt;:(,ham
10444,Oic... I saw him too but i tot he din c me... I found a group liao...,ham
10445,"Sorry, I'll call later",ham
10446,"HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAROUND! HOWDY GORGEOUS, HOWU DOIN? FOUNDURSELF A JOBYET SAUSAGE?LOVE JEN XXX",ham
10447,"Sorry, my battery died, I can come by but I'm only getting a gram for now, where's your place?",ham
10448,"Well done, blimey, exercise, yeah, i kinda remember wot that is, hmm. ",ham
10449,I wont get concentration dear you know you are my mind and everything :-),ham
10450,LOL ... Have you made plans for new years?,ham
10451,10 min later k...,ham
10452,hanks lotsly!,ham
10453,Thanks for this hope you had a good day today,ham
10454,K:)k:)what are detail you want to transfer?acc no enough?,ham
10455,Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.,ham
10456,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",spam
10457,Si si. I think ill go make those oreo truffles.,ham
10458,"LOOK AT AMY URE A BEAUTIFUL, INTELLIGENT WOMAN AND I LIKE U A LOT. I KNOW U DONT LIKE ME LIKE THAT SO DONT WORRY.",ham
10459,I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl,ham
10460,"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya",ham
10461,Going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.,ham
10462,Where did u go? My phone is gonna die you have to stay in here,ham
10463,Great. Never been better. Each day gives even more reasons to thank God,ham
10464,"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available",spam
10465,"Sorry, I'll call later ok bye",ham
10466,Ok i am on the way to railway,ham
10467,great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love  &lt;#&gt;  times per night :),ham
10468,They don't put that stuff on the roads to keep it from getting slippery over there?,ham
10469,When are you going to ride your bike?,ham
10470,"Yup, no need. I'll jus wait 4 e rain 2 stop.",ham
10471,There are many company. Tell me the language.,ham
10472,okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm,spam
